c0,c1,c2,c3,c4,c5,c6,c7,c8,c9
B,B,G,R,W,O,R,Y,G,a
B,P,Y,R,W,G,P,Y,O,a
G,G,P,R,W,O,R,B,Y,a
B,B,Y,O,W,Y,R,P,G,a
B,P,G,P,W,Y,O,R,Y,a
B,O,G,P,W,B,O,R,Y,a
B,G,O,O,W,Y,R,R,B,a
B,O,R,R,W,B,P,Y,G,a
G,B,R,O,W,B,P,O,Y,a
B,P,R,R,W,Y,Y,G,O,a
B,O,G,R,W,Y,R,P,G,a
B,G,Y,R,W,B,O,P,R,a
B,G,Y,R,W,G,R,Y,P,a
B,G,G,Y,W,R,P,O,R,a
B,P,Y,Y,W,G,O,R,R,a
B,B,Y,Y,W,O,G,P,R,a
G,B,R,P,W,Y,G,O,R,a
P,B,R,P,W,B,Y,O,Y,a
B,G,O,R,W,B,G,O,R,a
B,G,O,R,W,B,R,Y,P,a
B,B,O,G,W,G,O,R,R,a
P,B,R,Y,W,G,Y,R,P,a
B,G,Y,R,W,Y,P,R,P,a
B,P,G,Y,W,B,O,R,R,a
B,B,G,R,W,O,O,Y,R,a
B,P,O,Y,W,R,R,G,Y,a
B,B,O,Y,W,R,Y,P,G,a
B,R,G,R,W,G,P,O,Y,a
B,G,R,Y,W,B,P,O,O,a
P,B,Y,O,W,R,Y,G,P,a
B,P,Y,Y,W,R,G,O,P,a
B,O,R,R,W,Y,G,P,G,a
B,O,G,R,W,Y,Y,P,P,a
O,G,R,G,W,R,Y,B,P,a
G,O,R,P,W,B,O,B,Y,a
B,G,O,P,W,Y,G,R,R,a
B,O,R,Y,W,B,P,O,G,a
B,P,P,R,W,Y,G,Y,R,a
G,P,R,Y,W,B,Y,P,O,a
G,P,G,R,W,Y,R,P,Y,a
B,G,Y,O,W,R,P,R,B,a
O,B,P,R,W,G,Y,Y,R,a
G,B,Y,R,W,O,G,P,R,a
G,B,Y,Y,W,P,R,P,O,a
B,P,O,Y,W,O,R,B,Y,a
B,G,P,R,W,Y,B,R,O,a
B,O,G,P,W,Y,P,Y,R,a
B,P,O,P,W,R,Y,Y,G,a
B,B,O,G,W,R,Y,R,G,a
P,G,Y,R,W,R,Y,G,P,a
B,R,Y,Y,W,B,O,O,P,a
B,P,O,Y,W,B,Y,P,O,a
B,G,Y,Y,W,R,G,P,R,a
B,O,G,O,W,R,P,B,Y,a
B,P,R,Y,W,B,G,R,O,a
B,R,P,Y,W,G,R,O,G,a
G,B,Y,R,W,Y,R,P,G,a
B,G,Y,R,W,B,G,R,O,a
P,G,Y,R,W,G,R,B,Y,a
B,B,R,G,W,R,P,O,Y,a
B,B,O,O,W,G,R,Y,P,a
B,P,P,R,W,Y,Y,G,O,a
B,B,Y,O,W,Y,P,P,R,a
B,G,B,R,W,Y,R,O,G,a
O,O,P,Y,W,B,Y,B,R,a
G,B,O,B,W,R,Y,G,R,a
G,G,Y,Y,W,R,P,B,R,a
B,O,B,R,W,R,G,G,O,a
B,G,R,Y,W,R,Y,O,P,a
O,G,Y,R,W,Y,R,B,P,a
B,P,Y,R,W,B,O,O,G,a
B,G,O,R,W,G,R,Y,P,a
B,B,R,Y,W,R,G,P,O,a
G,R,Y,Y,W,B,R,O,P,a
P,B,P,O,W,Y,Y,B,R,a
B,B,O,R,W,G,Y,P,O,a
P,B,R,G,W,Y,Y,P,R,a
B,B,O,O,W,Y,P,G,R,a
G,B,Y,R,W,G,R,P,Y,a
B,G,O,O,W,R,Y,B,R,a
G,B,R,P,W,Y,Y,O,P,a
B,G,O,R,W,B,Y,O,P,a
B,P,Y,R,W,R,P,Y,G,a
G,B,Y,P,W,G,R,R,Y,a
G,G,Y,O,W,B,R,R,P,a
G,B,Y,P,W,R,R,Y,O,a
B,O,Y,R,W,P,G,Y,P,a
G,B,R,R,W,B,Y,O,O,a
B,O,P,Y,W,B,O,R,Y,a
G,B,O,P,W,G,R,R,Y,a
B,P,O,P,W,B,O,Y,Y,a
B,O,R,R,W,B,P,G,Y,a
G,G,R,R,W,P,Y,B,Y,a
O,O,Y,P,W,B,Y,B,P,a
G,B,R,Y,W,O,R,P,G,a
G,G,R,O,W,R,Y,B,P,a
G,B,Y,O,W,R,Y,R,P,a
B,R,P,Y,W,Y,R,G,G,a
G,G,Y,P,W,B,R,Y,R,a
B,B,O,P,W,G,O,R,Y,a
B,R,R,Y,W,P,Y,G,P,a
B,G,O,R,W,Y,B,O,P,a
G,P,R,R,W,Y,Y,B,O,a
B,O,Y,R,W,Y,B,P,P,a
B,O,P,R,W,R,Y,G,G,a
B,G,P,O,W,R,R,Y,G,a
B,G,Y,R,W,R,G,P,O,a
B,B,Y,P,W,R,G,O,O,a
B,B,Y,G,W,R,O,R,G,a
B,B,R,P,W,Y,G,R,O,a
B,G,O,O,W,B,Y,R,R,a
B,G,P,O,W,R,Y,B,R,a
B,O,R,R,W,B,G,G,Y,a
P,B,R,G,W,R,Y,Y,P,a
P,G,R,R,W,B,P,Y,Y,a
O,B,R,O,W,Y,P,B,Y,a
B,G,G,P,W,R,R,Y,Y,a
B,B,P,Y,W,O,O,R,Y,a
B,G,G,O,W,R,P,R,Y,a
G,B,R,Y,W,Y,O,P,R,a
B,B,Y,O,W,Y,R,O,P,a
G,B,Y,R,W,Y,P,P,R,a
G,P,R,Y,W,P,R,B,Y,a
B,B,Y,Y,W,O,P,P,O,a
O,P,P,Y,W,B,R,B,Y,a
G,B,P,P,W,O,Y,R,Y,a
B,P,Y,Y,W,O,R,B,O,a
G,O,R,P,W,B,G,R,Y,a
B,B,R,G,W,Y,O,R,P,a
B,P,P,Y,W,R,O,B,Y,a
B,P,P,Y,W,R,G,Y,R,a
B,P,G,R,W,Y,R,G,Y,a
B,G,G,Y,W,R,O,P,R,a
G,P,R,Y,W,B,O,R,Y,a
B,B,O,G,W,P,Y,Y,R,a
B,G,G,R,W,O,B,Y,R,a
P,G,Y,P,W,B,R,R,Y,a
B,B,R,G,W,O,O,R,G,a
B,G,G,R,W,Y,O,R,B,a
B,B,P,R,W,O,Y,Y,O,a
B,P,O,Y,W,B,O,R,Y,a
B,B,R,R,W,P,G,O,Y,a
B,B,G,O,W,Y,Y,R,P,a
B,P,Y,Y,W,G,P,R,R,a
G,B,Y,P,W,O,Y,R,P,a
O,G,R,R,W,B,Y,Y,P,a
G,G,P,Y,W,R,R,P,Y,a
B,B,G,O,W,O,R,Y,P,a
B,B,R,Y,W,O,G,O,R,a
G,O,Y,P,W,Y,R,B,P,a
B,P,Y,Y,W,R,O,B,O,a
B,O,R,Y,W,B,O,P,G,a
G,O,R,Y,W,R,Y,B,P,a
B,P,O,Y,W,Y,B,R,P,a
B,G,R,O,W,R,B,Y,O,a
B,G,P,Y,W,B,Y,R,O,a
G,Y,P,Y,W,G,R,P,R,a
B,B,R,P,W,R,O,Y,G,a
B,G,B,O,W,R,R,Y,O,a
B,R,R,Y,W,Y,G,G,P,a
B,B,O,Y,W,P,O,R,Y,a
B,G,R,R,W,Y,P,O,G,a
B,B,Y,P,W,Y,O,P,O,a
B,G,B,Y,W,Y,O,P,R,a
B,B,O,Y,W,O,R,Y,P,a
O,G,R,R,W,G,P,B,Y,a
O,B,Y,G,W,R,P,G,R,a
B,R,G,Y,W,P,P,O,Y,a
G,P,R,Y,W,B,P,Y,R,a
G,B,Y,R,W,G,R,P,O,a
B,G,Y,Y,W,P,G,R,R,a
B,O,Y,R,W,P,P,B,Y,a
B,O,P,Y,W,B,G,O,R,a
B,P,G,Y,W,R,Y,P,O,a
B,P,Y,Y,W,B,G,O,R,a
G,P,P,Y,W,R,Y,G,R,a
G,B,Y,Y,W,R,R,O,P,a
G,P,R,R,W,Y,Y,P,G,a
B,G,P,Y,W,R,Y,P,R,a
G,G,R,R,W,P,Y,B,O,a
G,B,Y,O,W,B,P,O,R,a
G,B,Y,G,W,R,R,O,P,a
B,O,Y,P,W,B,P,R,Y,a
B,G,B,R,W,Y,O,P,O,a
B,B,P,R,W,Y,R,G,O,a
B,B,G,O,W,Y,R,O,P,a
G,O,Y,P,W,B,O,B,R,a
G,B,Y,G,W,P,R,Y,R,a
B,B,P,O,W,G,R,R,Y,a
G,B,P,O,W,Y,Y,R,R,a
B,B,O,R,W,O,G,G,R,a
B,O,G,R,W,G,Y,R,P,a
B,G,P,R,W,Y,Y,P,O,a
B,B,O,O,W,Y,R,G,P,a
B,B,Y,R,W,O,Y,P,O,a
B,O,R,R,W,G,O,B,G,a
B,G,G,O,W,R,O,B,R,a
B,G,P,O,W,R,B,Y,O,a
G,G,R,Y,W,R,P,P,Y,a
B,B,R,P,W,O,Y,Y,G,a
B,B,R,O,W,R,O,G,G,a
B,R,R,Y,W,B,O,G,G,a
G,P,O,Y,W,B,R,R,Y,a
G,G,R,R,W,Y,P,P,Y,a
G,B,Y,G,W,R,Y,R,P,a
G,G,Y,R,W,P,Y,B,R,a
B,B,P,P,W,O,Y,Y,R,a
G,B,R,O,W,P,Y,R,G,a
B,O,G,Y,W,O,R,B,P,a
B,G,Y,O,W,Y,R,R,P,a
B,O,B,P,W,Y,O,Y,R,a
O,B,P,G,W,P,Y,R,Y,a
B,O,G,Y,W,P,O,B,R,a
B,B,Y,R,W,P,O,G,O,a
B,G,P,R,W,B,Y,O,O,a
B,G,P,Y,W,O,O,B,R,a
O,P,P,Y,W,G,Y,B,R,a
G,O,R,Y,W,B,R,B,P,a
B,P,Y,Y,W,R,O,P,G,a
B,P,B,R,W,Y,O,G,O,a
B,P,O,Y,W,B,G,O,R,a
G,B,O,B,W,O,R,Y,R,a
B,O,Y,Y,W,O,P,B,P,a
G,B,R,P,W,P,R,Y,Y,a
B,G,R,Y,W,B,Y,O,P,a
B,B,Y,O,W,R,G,O,R,a
O,B,Y,Y,W,P,R,B,P,a
B,G,O,Y,W,B,Y,P,R,a
G,B,R,O,W,G,P,R,Y,a
B,O,R,P,W,Y,O,B,G,a
B,B,G,Y,W,P,R,O,Y,a
G,B,Y,P,W,Y,G,R,R,a
B,B,G,R,W,P,O,O,Y,a
B,P,P,Y,W,O,Y,B,O,a
B,P,O,Y,W,Y,G,P,R,a
B,B,Y,Y,W,P,O,P,O,a
G,B,O,P,W,R,R,Y,Y,a
G,G,Y,R,W,P,R,B,O,a
B,P,R,Y,W,B,Y,O,P,a
B,O,Y,Y,W,R,B,P,P,a
B,G,Y,Y,W,R,R,P,O,a
G,B,R,O,W,B,R,Y,O,a
G,B,R,G,W,P,O,Y,R,a
O,B,P,G,W,R,Y,G,R,a
B,G,P,R,W,O,G,Y,R,a
G,P,G,P,W,Y,R,Y,R,a
B,B,O,R,W,G,R,Y,P,a
B,G,O,Y,W,O,R,B,P,a
B,O,Y,P,W,B,O,Y,R,a
B,G,Y,O,W,Y,P,B,R,a
B,G,O,Y,W,Y,B,P,R,a
B,O,Y,R,W,R,O,B,G,a
G,R,R,Y,W,P,Y,G,P,a
G,O,R,R,W,Y,Y,B,P,a
G,B,Y,O,W,B,Y,R,P,a
B,G,G,Y,W,R,P,Y,R,a
B,B,R,Y,W,O,P,O,G,a
P,B,R,O,W,Y,Y,G,P,a
G,P,O,Y,W,P,R,B,Y,a
B,P,P,Y,W,O,B,R,Y,a
G,B,R,B,W,O,Y,O,P,a
B,G,O,Y,W,P,O,B,R,a
G,P,O,R,W,Y,R,B,Y,a
O,B,R,Y,W,P,P,G,Y,a
B,G,Y,R,W,O,R,Y,P,a
G,P,R,Y,W,B,Y,R,P,a
B,R,O,Y,W,B,Y,G,P,a
B,B,Y,G,W,P,O,R,O,a
B,R,G,R,W,G,P,Y,Y,a
B,B,O,O,W,G,R,R,Y,a
B,O,O,P,W,Y,B,R,G,a
B,O,P,Y,W,R,Y,P,B,a
O,B,Y,R,W,G,P,B,Y,a
G,B,R,P,W,R,Y,Y,G,a
G,B,Y,Y,W,P,R,R,P,a
G,B,R,B,W,G,Y,R,O,a
B,B,O,Y,W,Y,R,O,P,a
P,B,Y,G,W,Y,R,P,R,a
G,P,Y,Y,W,B,P,R,R,a
G,B,O,B,W,O,Y,R,R,a
G,B,O,Y,W,R,Y,P,R,a
B,B,Y,R,W,O,O,R,G,a
B,G,Y,R,W,B,P,O,O,a
B,G,Y,P,W,R,O,R,B,a
G,B,Y,O,W,P,R,B,O,a
B,O,P,Y,W,G,R,R,G,a
B,B,O,O,W,P,R,Y,G,a
B,G,R,R,W,O,O,B,Y,a
G,B,Y,O,W,B,O,P,R,a
B,R,Y,Y,W,B,O,P,P,a
B,P,B,R,W,Y,Y,O,O,a
G,G,Y,R,W,B,Y,R,P,a
G,O,Y,R,W,G,R,B,P,a
P,B,R,R,W,Y,P,G,Y,a
B,R,P,Y,W,G,R,Y,G,a
B,G,R,R,W,P,O,Y,G,a
B,P,Y,Y,W,B,O,O,R,a
G,B,P,G,W,O,Y,R,R,a
G,B,P,Y,W,P,R,Y,R,a
B,G,O,P,W,R,O,B,Y,a
G,P,P,Y,W,B,Y,R,R,a
B,G,P,Y,W,O,G,R,R,a
B,P,G,R,W,O,O,B,Y,a
B,G,G,O,W,R,B,R,O,a
G,B,R,Y,W,P,R,B,O,a
B,O,O,Y,W,G,R,B,P,a
B,G,R,R,W,B,O,G,Y,a
B,B,P,R,W,O,Y,P,Y,a
B,B,R,Y,W,R,P,G,O,a
B,P,R,Y,W,P,O,Y,G,a
G,O,Y,R,W,B,P,G,R,a
B,G,O,R,W,Y,R,O,B,a
P,G,R,G,W,R,Y,Y,P,a
G,G,Y,Y,W,R,P,P,R,a
B,O,B,P,W,R,Y,Y,O,a
B,G,Y,R,W,O,Y,R,P,a
B,O,Y,R,W,B,O,Y,P,a
B,G,R,P,W,R,O,Y,G,a
B,G,Y,R,W,G,P,Y,R,a
O,B,R,Y,W,B,Y,O,P,a
B,B,G,Y,W,P,R,O,O,a
B,P,R,R,W,B,Y,G,O,a
B,O,O,P,W,Y,Y,R,B,a
B,B,Y,P,W,O,R,R,G,a
B,P,R,Y,W,R,Y,O,G,a
B,P,O,Y,W,B,R,O,G,a
B,B,R,O,W,R,Y,G,P,a
B,P,G,R,W,O,R,B,Y,a
B,B,R,O,W,O,G,Y,R,a
G,B,R,R,W,P,Y,O,G,a
B,G,P,R,W,Y,R,G,Y,a
B,G,Y,P,W,Y,P,R,R,a
B,G,P,G,W,R,R,Y,Y,a
B,G,Y,O,W,R,B,R,O,a
B,G,B,R,W,Y,P,O,O,a
O,B,R,B,W,P,Y,Y,P,a
G,P,Y,R,W,Y,P,G,R,a
G,G,Y,R,W,B,R,O,P,a
B,B,Y,G,W,O,P,Y,R,a
B,B,Y,P,W,R,G,Y,O,a
G,O,P,P,W,B,Y,Y,R,a
P,B,R,P,W,G,R,Y,Y,a
B,P,G,Y,W,Y,R,O,R,a
G,P,O,Y,W,R,Y,B,R,a
B,P,G,R,W,Y,P,R,Y,a
B,P,P,R,W,R,Y,Y,G,a
B,G,B,R,W,R,P,O,Y,a
G,B,R,P,W,Y,Y,R,O,a
B,P,Y,Y,W,R,R,O,G,a
P,B,P,G,W,O,Y,Y,R,a
B,B,O,G,W,G,Y,R,R,a
B,B,R,O,W,G,G,R,O,a
B,B,G,O,W,P,Y,R,O,a
B,G,O,R,W,B,Y,R,O,a
G,B,R,P,W,R,Y,G,Y,a
B,B,Y,O,W,Y,G,P,R,a
B,B,G,Y,W,R,Y,O,P,a
B,P,Y,R,W,O,B,Y,O,a
G,P,P,R,W,O,Y,B,Y,a
O,G,P,R,W,G,R,B,Y,a
B,B,O,G,W,R,P,Y,Y,a
B,G,P,O,W,R,Y,Y,R,a
G,O,R,P,W,B,Y,B,Y,a
B,O,Y,R,W,B,P,Y,G,a
G,B,R,G,W,B,R,O,O,a
B,G,P,O,W,Y,B,R,O,a
B,O,G,P,W,Y,R,B,O,a
P,B,Y,G,W,R,P,O,Y,a
B,R,R,Y,W,O,G,B,P,a
G,B,Y,Y,W,P,R,G,R,a
B,B,P,Y,W,G,Y,R,O,a
B,B,R,G,W,P,O,R,Y,a
G,B,R,G,W,R,Y,B,O,a
B,B,R,P,W,O,G,Y,Y,a
G,B,Y,P,W,B,R,O,Y,a
G,P,O,Y,W,B,Y,R,R,a
B,O,O,R,W,P,B,Y,G,a
B,G,O,G,W,Y,R,R,P,a
B,G,Y,Y,W,P,R,R,P,a
B,B,R,Y,W,O,O,G,P,a
B,G,R,Y,W,Y,G,R,P,a
G,B,O,G,W,B,Y,R,R,a
B,G,R,Y,W,P,O,Y,R,a
G,B,R,O,W,Y,O,B,R,a
G,B,R,B,W,O,R,Y,O,a
B,P,O,R,W,Y,G,B,Y,a
B,G,P,R,W,Y,B,O,O,a
B,O,R,P,W,B,P,Y,Y,a
G,P,R,Y,W,P,Y,B,O,a
B,B,R,G,W,R,P,Y,O,a
B,B,G,O,W,R,G,Y,R,a
B,R,Y,Y,W,G,G,R,P,a
G,G,R,R,W,B,Y,O,P,a
B,P,G,Y,W,P,R,Y,O,a
B,B,Y,O,W,G,O,R,R,a
B,Y,G,Y,W,R,P,P,R,a
B,B,G,G,W,R,O,Y,R,a
O,G,P,Y,W,P,R,B,Y,a
G,B,O,O,W,B,R,Y,R,a
B,G,O,R,W,R,B,Y,P,a
B,G,R,R,W,Y,P,Y,G,a
B,Y,R,Y,W,G,R,P,G,a
G,G,R,Y,W,P,O,B,R,a
B,G,O,R,W,O,G,B,R,a
B,G,R,R,W,B,O,G,O,a
G,B,Y,O,W,G,P,R,R,a
G,O,R,Y,W,R,P,B,Y,a
G,G,R,P,W,Y,P,R,Y,a
B,O,G,P,W,Y,R,Y,R,a
O,G,Y,P,W,B,Y,R,P,a
G,B,Y,O,W,B,R,R,O,a
G,B,R,P,W,P,Y,Y,O,a
G,O,R,P,W,B,P,Y,Y,a
B,B,Y,P,W,P,O,Y,R,a
B,B,P,O,W,Y,O,Y,R,a
B,P,R,Y,W,R,G,O,G,a
O,P,Y,R,W,G,Y,B,P,a
B,O,G,R,W,B,P,Y,Y,a
B,P,G,R,W,O,B,Y,O,a
G,B,R,O,W,R,P,G,Y,a
B,G,R,P,W,Y,G,R,O,a
B,G,P,R,W,Y,R,G,O,a
B,R,O,Y,W,O,R,B,G,a
G,B,Y,P,W,O,R,Y,P,a
B,G,P,G,W,R,R,Y,O,a
B,B,O,R,W,G,O,R,Y,a
B,P,G,R,W,O,Y,Y,P,a
G,P,R,Y,W,R,Y,B,P,a
B,G,R,Y,W,R,O,P,Y,a
B,O,G,R,W,B,O,G,R,a
B,G,R,R,W,Y,B,O,O,a
G,G,R,Y,W,B,Y,P,R,a
B,O,Y,Y,W,R,O,P,B,a
B,P,Y,R,W,Y,R,O,G,a
P,G,P,R,W,Y,R,G,Y,a
B,O,G,R,W,G,P,R,Y,a
B,B,R,Y,W,O,Y,P,P,a
B,O,R,Y,W,P,O,B,G,a
G,B,G,O,W,R,Y,B,R,a
G,B,R,P,W,R,Y,G,O,a
B,G,O,Y,W,P,R,R,Y,a
G,G,P,P,W,Y,R,R,Y,a
B,B,O,Y,W,R,P,G,Y,a
B,P,G,Y,W,R,R,O,G,a
G,B,R,P,W,R,G,Y,Y,a
B,R,G,Y,W,O,P,P,Y,a
G,B,P,Y,W,P,Y,R,R,a
G,O,R,P,W,B,Y,B,O,a
B,P,O,Y,W,R,O,B,Y,a
B,B,R,O,W,G,R,Y,O,a
G,P,Y,Y,W,P,R,B,O,a
B,O,R,Y,W,P,G,Y,B,a
G,R,P,Y,W,B,R,P,Y,a
B,O,Y,Y,W,P,G,B,R,a
O,P,R,Y,W,B,Y,G,P,a
B,P,G,R,W,Y,O,B,Y,a
G,B,Y,P,W,P,O,Y,R,a
B,O,Y,R,W,P,O,Y,B,a
B,P,O,R,W,Y,Y,P,G,a
B,B,R,P,W,O,G,Y,O,a
B,P,O,Y,W,O,B,R,G,a
G,B,Y,P,W,B,R,O,O,a
B,G,P,Y,W,P,O,Y,R,a
B,O,G,P,W,B,O,Y,R,a
B,B,Y,Y,W,P,O,R,P,a
G,B,R,Y,W,G,R,P,Y,a
P,B,P,G,W,Y,Y,O,R,a
B,B,P,R,W,O,R,Y,G,a
B,B,R,R,W,O,P,G,Y,a
B,G,R,R,W,B,Y,O,O,a
B,G,O,Y,W,P,Y,R,P,a
B,O,G,R,W,B,Y,O,P,a
B,B,P,Y,W,P,R,O,Y,a
B,P,O,Y,W,Y,P,R,B,a
G,B,O,B,W,Y,R,O,R,a
B,O,R,Y,W,B,Y,P,G,a
B,B,O,R,W,P,R,Y,G,a
B,P,O,Y,W,G,B,R,O,a
B,B,Y,O,W,G,R,R,P,a
B,G,Y,R,W,P,O,B,R,a
B,O,P,Y,W,R,G,B,Y,a
G,B,R,G,W,Y,Y,R,P,a
B,P,R,Y,W,B,G,O,Y,a
G,P,P,R,W,R,Y,G,Y,a
B,Y,G,Y,W,G,R,R,P,a
B,B,R,Y,W,P,P,Y,O,a
G,B,P,R,W,P,Y,Y,R,a
B,B,Y,R,W,P,O,Y,P,a
O,B,R,G,W,Y,Y,P,P,a
B,P,G,R,W,Y,R,Y,P,a
B,B,R,O,W,Y,O,Y,P,a
B,B,O,P,W,O,Y,R,G,a
B,G,G,Y,W,P,O,R,R,a
B,G,R,Y,W,R,G,O,B,a
G,B,R,P,W,B,O,O,Y,a
B,O,P,Y,W,B,Y,R,O,a
B,O,Y,P,W,Y,B,R,P,a
G,B,R,O,W,P,Y,B,R,a
B,G,B,R,W,Y,O,G,R,a
B,P,G,R,W,O,R,Y,G,a
B,P,B,R,W,Y,O,Y,P,a
G,B,Y,R,W,R,Y,O,P,a
B,G,O,Y,W,Y,R,P,R,a
B,B,R,Y,W,O,G,P,Y,a
P,B,Y,R,W,O,P,G,Y,a
G,P,R,Y,W,G,Y,R,P,a
B,B,Y,R,W,P,R,G,O,a
B,R,G,Y,W,P,O,G,R,a
B,B,G,G,W,O,R,R,Y,a
B,B,R,R,W,P,O,Y,G,a
B,G,P,R,W,O,O,B,Y,a
B,B,R,O,W,Y,R,G,O,a
B,B,O,R,W,G,G,O,R,a
G,B,Y,Y,W,P,G,R,R,a
O,B,P,G,W,Y,Y,P,R,a
B,O,Y,Y,W,R,G,B,P,a
B,B,Y,P,W,O,P,Y,R,a
B,O,G,Y,W,B,O,R,R,a
G,B,Y,P,W,R,R,G,Y,a
B,O,P,R,W,B,P,Y,Y,a
O,G,Y,Y,W,P,R,B,P,a
B,G,G,O,W,R,Y,B,R,a
G,R,R,Y,W,G,P,P,Y,a
B,R,O,Y,W,B,P,G,Y,a
B,P,P,R,W,R,G,Y,Y,a
B,P,R,R,W,Y,P,G,Y,a
P,B,Y,O,W,G,R,Y,P,a
O,B,Y,R,W,G,P,P,Y,a
G,G,Y,P,W,Y,P,R,R,a
B,O,O,R,W,G,R,B,G,a
B,O,Y,R,W,Y,P,G,P,a
B,B,O,P,W,Y,O,Y,R,a
B,B,P,Y,W,O,Y,R,O,a
B,P,O,Y,W,Y,R,G,P,a
G,B,R,B,W,O,Y,R,O,a
B,B,G,R,W,P,Y,O,R,a
B,R,P,Y,W,P,Y,G,O,a
B,G,P,R,W,R,B,Y,O,a
G,B,R,O,W,B,Y,P,O,a
B,P,P,Y,W,R,Y,B,O,a
O,B,Y,G,W,P,R,Y,P,a
G,B,R,O,W,O,R,B,G,a
B,B,R,G,W,O,Y,R,P,a
B,P,G,Y,W,P,Y,R,O,a
G,B,Y,G,W,O,P,R,R,a
B,Y,O,Y,W,P,R,B,P,a
B,G,R,O,W,Y,R,B,G,a
B,P,G,Y,W,B,O,O,R,a
B,R,G,Y,W,O,R,G,P,a
G,B,Y,O,W,R,G,P,R,a
B,G,O,R,W,P,B,Y,O,a
B,O,Y,Y,W,B,G,R,P,a
B,O,G,P,W,B,Y,R,R,a
G,B,R,O,W,Y,P,R,Y,a
B,G,P,R,W,O,Y,Y,P,a
O,G,Y,R,W,B,R,Y,P,a
G,B,P,R,W,R,Y,G,Y,a
B,P,P,Y,W,O,R,Y,G,a
B,P,O,Y,W,G,R,R,G,a
B,B,G,R,W,O,O,G,R,a
B,B,Y,O,W,R,O,G,P,a
G,B,R,Y,W,G,R,P,O,a
G,P,O,R,W,B,Y,Y,R,a
B,B,P,Y,W,R,Y,G,O,a
P,B,Y,G,W,G,R,R,Y,a
B,O,Y,P,W,R,G,Y,R,a
B,B,P,O,W,Y,R,G,Y,a
B,G,O,R,W,R,Y,G,P,a
G,B,O,Y,W,R,R,P,Y,a
G,O,Y,P,W,B,P,Y,R,a
B,P,G,R,W,Y,O,R,B,a
B,R,P,Y,W,G,Y,O,R,a
G,O,R,Y,W,B,Y,P,P,a
O,B,R,Y,W,B,Y,P,P,a
B,G,G,O,W,Y,B,R,R,a
G,B,R,Y,W,O,Y,P,P,a
B,R,B,R,W,Y,O,P,G,a
B,R,O,R,W,P,Y,G,G,a
G,B,O,R,W,Y,Y,P,R,a
B,P,G,R,W,G,Y,R,O,a
G,B,Y,G,W,R,Y,P,R,a
B,P,R,Y,W,Y,O,B,P,a
